Name	Description	GFP.1	GFP.2	GFP.3	GFP.4	FL.1	FL.2	FL.3	FL.4	dE18.1	dE18.2	dE18.3	dE18.4	FL.Bicc1.1	FL.Bicc1.2	FL.Bicc1.3	FL.Bicc1.4	dE18.Bicc1.1	dE18.Bicc1.2	dE18.Bicc1.3	dE18.Bicc1.4
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	-228.530299	-123.4821646	-378.9381401	-133.9483145	-255.0592413	168.8981776	174.2376647	407.2711294	462.5775106	656.0305719	468.6082371	227.0025652	123.7879948	622.115876	420.7276933	502.1073108	745.7193445	1003.269134	661.8761003	496.1098571
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	900.149799	1233.836757	1072.055621	1228.458115	755.1053832	632.7874585	726.4422826	722.4122421	750.4948719	255.9346079	745.1798013	910.1035775	758.016278	926.8230434	923.5284015	632.1481176	774.4337872	514.7326912	730.1549738	475.5274235
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	204.7173876	564.7068759	283.6717461	431.4536888	-22.98754665	266.8828151	72.26199848	-166.869479	505.8719443	92.92457019	334.7214958	349.7221745	284.0497199	299.6356414	2.606638015	101.1574007	-85.23983695	-196.9804375	-80.83868356	-117.3081339
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	60.51990935	320.7402401	136.6466007	11.77413031	-148.1973404	237.5871203	173.7432965	302.5893791	411.8510467	110.7741817	327.0774631	445.9624612	385.5937048	517.5886304	531.2828146	547.7394439	457.8645917	229.4590197	431.3733728	422.7849135
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	1022.464401	1126.730712	1102.070972	1042.381896	1137.062245	1204.091622	1226.544454	1206.818477	1041.908005	1084.75365	1050.165614	1089.781848	1037.292979	1089.824324	1023.085648	1071.317365	1187.324581	1140.61191	1185.42493	1193.118852
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	-207.6427538	-395.2110893	-507.6288404	-748.7325395	-499.1321286	-353.7085458	-491.8895357	-370.9261102	-682.8801739	-652.4493902	-280.8365933	-359.8433113	-521.4194304	-323.5271094	-320.2706244	-115.8911383	-827.9473586	-590.0746259	-233.7792348	-366.7781601
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	-59.45027443	-86.48016218	37.53639176	3.270988651	-199.0368571	46.60082561	186.9735908	76.5622874	131.0729136	-81.39164926	111.4571899	422.09278	123.9202525	162.6937471	174.3937291	310.7653177	15.49740055	-100.2782204	226.0324597	95.60604068
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	-631.7595193	-579.1814334	-546.5286517	-623.3439491	-217.0539997	-23.70057818	-152.8862661	-165.7210626	33.05566828	482.0490615	122.0422395	43.6027372	-255.7359188	421.7649158	246.4409479	158.7953224	659.320515	452.2558904	631.0494289	758.2750356
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	-1473.067163	-1807.495155	-775.6151505	-1297.492724	-1433.116528	-1599.242602	-1575.851338	-1023.03316	-1420.028765	-1542.483045	-1382.297293	-1251.583361	-93.00661378	-1226.616982	-744.1378912	-1442.719356	-1474.770458	-1413.262137	-1188.650869	-1166.876276
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	-1020.064677	-1433.971444	-1391.471812	-1142.591143	-932.8360222	-1058.013693	-974.0496602	-1029.418221	-1389.788233	-1370.757052	-603.2151436	-1070.165936	-1359.895552	-1081.438746	-1174.094895	-1135.16912	-1096.275732	-797.4066461	-881.8044832	-852.3276623
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	-1666.300587	-1871.833961	-1803.593228	-1852.178043	-1289.437817	-1322.442814	-1413.271415	-1399.615805	-1802.821345	-1700.370096	-1741.458684	-1616.046811	617.5218461	-38.45401639	281.3045397	258.9690584	980.5206073	1005.162709	995.1777779	1219.494026
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	-1804.173323	-1896.239984	-1877.661948	-1928.012101	-1472.525449	-1505.430747	-1433.996975	-1452.578537	-1775.634238	-1718.836798	-1717.452524	-1638.325046	-352.1429898	-558.9620824	-322.261801	-289.5612044	734.2764593	738.3869854	1025.70476	707.9941518
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	-299.6100392	318.2858571	377.6719876	-374.0490862	622.9321573	40.97778574	1456.43168	1459.412259	603.38084	-558.4654561	-53.26449151	599.5627969	-285.8589282	-297.4596633	414.3562465	502.2385712	-515.4266825	-954.5795678	-887.4239432	-664.073251
HALLMARK_KRAS_SIGNALING	HALLMARK_KRAS_SIGNALING_UP combined UP & DN	-857.2504864	-1881.87233	-1911.997686	-1207.908774	-1698.599579	-1314.671944	-2510.305849	-2773.529372	-1337.810585	-305.9423297	-478.8969139	-897.4365597	-772.2003548	-970.152696	-1687.983514	-1548.170726	-87.59659036	173.6122724	-251.534188	-356.9101126
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	-1156.860526	-1563.586473	-1534.325698	-1581.95786	-1075.667422	-1273.694159	-1053.874169	-1314.117113	-734.4297454	-864.4077857	-532.1614054	-297.8737628	-1058.059283	-1267.612359	-1273.627268	-1045.932155	-603.0232729	-780.9672954	-1138.958131	-1020.983364
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	-128.0857224	155.9275419	-120.1905143	296.4608392	-55.94804951	-129.5305887	-195.7660181	-304.1665833	-270.0364978	-151.5989858	-315.6496194	-291.1925136	-105.4014621	22.78107335	-205.8627486	-626.3626726	-523.5170244	-465.749807	-502.1696866	-532.9316337
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	1382.218366	1333.006525	1453.024404	1458.490355	1224.991045	1421.140529	1428.544301	1319.515797	1513.435464	1663.718765	1667.785635	1551.909265	1498.952549	1502.637127	1369.674394	1484.938655	1605.850388	1631.774524	1603.44337	1742.045075
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	2207.190031	2112.999447	2019.013204	2235.553548	2096.619487	2188.433689	2107.180555	2120.632573	2251.934993	2267.882923	2239.97384	2250.941478	2134.075417	2349.824947	2116.4795	2243.045624	2099.40358	2197.60563	2203.747332	2205.420996
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	1469.756168	1487.408475	632.7003035	1012.870688	575.7638469	892.4672125	916.2781356	933.7164275	740.149458	1503.5338	1035.694635	1068.557826	966.0958831	996.6919677	993.7462162	995.2859654	965.0826976	954.8438936	933.4529311	949.2837927
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	787.8886747	106.5008526	237.7140699	118.3166264	364.0411032	156.3880097	436.6295393	617.56569	283.6226573	533.3099223	794.9650342	455.2471381	67.99355294	-79.31791438	405.403943	358.0418264	-167.7912785	-496.7664175	216.2265313	118.9719119
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	-197.5833356	-242.7970907	-29.08126801	-167.3296305	57.02515549	-175.3558696	-189.840407	-117.3771079	-1010.806174	-1148.633643	259.6591239	362.9626555	-1426.712038	-437.0801448	-1386.16198	-1294.669273	95.09709169	73.67767264	-1120.988701	-1583.059601
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1831.903005	1699.04537	1705.185012	1716.235006	1571.594668	1680.697235	1660.452759	1523.341734	1732.172672	1614.181997	1750.869923	1733.087153	1637.468723	1656.983863	1791.730797	1652.087483	1595.297085	1446.135741	1609.977216	1601.578869
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	-637.4642013	-779.0277867	-612.5974444	-646.5519676	-534.4053786	-652.8546715	-588.9217256	-614.5569846	-592.713231	-603.5972219	-510.5364513	-524.5708685	-730.9382166	-499.1667983	-283.7496542	-436.185838	-465.9441488	-384.189026	-211.0145284	-362.6215631
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	1507.697506	1617.45837	1607.940154	1606.872037	1553.784307	1627.112915	1630.358543	1648.797459	1570.570516	-8.294281259	1671.449664	1623.438375	1749.624401	1728.624091	1736.615419	1668.647201	242.4877171	256.1003198	1656.863259	183.5339615
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	748.1962516	1144.398149	724.9539145	705.8055006	177.0788688	348.1548555	366.4119689	388.6475626	176.0490488	-320.0937144	-271.0164165	154.3473329	63.95100933	59.62082488	85.69332709	407.1954149	240.5752192	-14.50436199	192.96156	209.7746161
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	1531.148203	1342.792646	1362.596913	1355.834301	1384.547656	1588.677034	1361.736748	1370.381687	1649.533557	1652.574005	1630.838179	1616.105231	1717.308565	1416.696008	1681.314014	1698.16681	1682.276781	1697.035916	1697.74088	1676.898669
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	1159.607536	1137.883713	1124.872695	1155.591206	1188.481477	1200.220945	1206.615101	1222.87306	1257.686036	1238.146506	1317.386297	965.55831	1236.10196	1247.654725	1233.584186	1220.47905	787.5734579	1380.804688	1344.52429	1329.597631
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1633.268025	1578.426728	1659.729352	1654.226627	1663.21875	1669.993816	1641.966061	1631.210334	1488.019659	1476.434242	918.2696518	1485.37955	1591.228738	1552.466064	1565.629981	1562.628578	1548.651527	1000.012359	1536.87674	1538.212507
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	962.5608332	1650.049156	961.3730879	889.4869349	827.0200848	823.4057806	873.5653905	868.7757787	850.1711418	740.0364768	1480.998274	1391.947274	1512.467208	1512.897226	1477.020345	297.2928147	781.1962079	587.9777569	771.5597912	1282.159172
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	-461.5710936	-723.934483	-139.7352454	-419.6319502	-17.85834396	437.9562412	6.202485111	-219.3054754	1082.083055	1077.214963	404.8869765	1034.294217	972.2989115	-127.6681805	-136.9032625	-157.3163355	495.2085672	441.464336	920.8291931	878.1902384
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-1581.454175	-1735.951236	-1533.051632	-1603.019268	-1640.994265	-1763.58951	-1517.349392	-1677.697095	-1315.809029	-1218.68909	-1088.555451	-1333.194476	-1531.399902	-1351.749731	-1535.245786	-1612.395288	-1310.102925	-1050.256697	-1082.832564	-1344.024709
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	779.6678575	720.0127824	742.0625703	581.9423487	344.2708827	699.7294975	729.7242968	710.2508965	1112.330161	858.726514	861.3925804	1095.752633	763.3813782	781.8843605	761.0436166	809.2328881	1108.389367	1125.983864	1101.69592	1089.30925
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	-93.77699045	-269.3645876	-203.836852	404.202129	-308.5421093	-265.7476543	218.4045187	-114.199544	-678.3833687	-22.72539154	-187.1710167	-489.67121	-600.8072172	-580.6624619	-553.8411281	-497.3813126	-527.2713399	-447.6682035	-437.1222201	-180.3142973
HALLMARK_UV_RESPONSE	HALLMARK_UV_RESPONSE_UP combined UP & DN	1215.638456	1656.920897	1570.647693	992.029901	1719.173643	1372.492483	956.545038	1280.176834	1827.502657	1107.74062	1356.134807	1898.506658	1743.264739	2049.639808	1996.9463	1946.637695	1548.032844	1650.711766	1610.658482	1381.30543
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	1121.861466	1387.55631	1366.810841	1396.23203	1410.631533	1106.744829	1174.949557	1165.97729	1149.119288	1085.015229	1168.96379	1408.835448	1142.457522	1468.977346	1443.105172	1449.256382	1020.761504	1203.043563	1173.536262	1200.991133
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	-1854.777108	-1887.466959	-1859.019544	-1971.351866	-178.9264166	-399.7653977	-243.2152678	-609.8716618	109.4446113	86.12728852	178.8845404	58.3028864	-824.231794	-688.0686733	-820.3904982	-575.3485371	-266.1741379	-287.2930249	-185.3533455	-1319.3609
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	-126.8035874	256.0925461	128.854218	238.412329	300.5919013	-35.40218022	149.3201017	74.84933353	356.1986113	-139.812081	41.5662735	55.71782641	-55.36423496	96.7712566	97.35487113	1.962025952	312.6911927	235.809568	318.9455942	68.04282198
